"id","Q_sociologique","Arrondissement","Abreviation","nbr_RUI","Table"
1,"Ahuntsic","Ahuntsic-Cartierville","AHU",0,"Solidarité Ahuntsic"
2,"Bordeaux-Cartierville","Ahuntsic-Cartierville","AHU",1,"Conseil local des intervenants communautaires Bordeaux-Cartierville / CLIC"
3,"Anjou","Anjou","AJ",0,"Regroupement des organismes communautaires et humanitaires d’Anjou / ROCHA"
4,"Côte-des-Neiges","Côte-des-Neiges–Notre-Dame-de-Grâce","CDN",0,"Corporation de développement communautaire de Côte-des-Neiges"
5,"Notre-Dame-de-Grâce","Côte-des-Neiges–Notre-Dame-de-Grâce","CND",0,"Conseil communautaire de Notre-Dame-de-Grâce"
6,"Nord-Ouest de l’Ile de Montréal","L'Île-Bizard–Sainte-Geneviève / Pierrefonds-Roxboro","IBI / PRF",0,"Table de quartier du Nord-Ouest de l’Ile de Montréal / TQNOIM"
7,"Lachine","Lachine","LAC",1,"Concert’Action Lachine"
8,"LaSalle","LaSalle","LAS",1,"Table de développement social de LaSalle"
9,"Hochelaga-Maisonneuve","Mercier–Hochelaga-Maisonneuve","MHM",1,"La Table de quartier Hochelaga-Maisonneuve"
10,"Mercier-Est","Mercier–Hochelaga-Maisonneuve","MHM",1,"Solidarité Mercier-Est"
11,"Mercier-Ouest","Mercier–Hochelaga-Maisonneuve","MHM",0,"Mercier-Ouest quartier en santé"
12,"Montréal-Nord","Montréal-Nord","MTN",1,"Montréal-Nord en santé"
13,"Outremont","Outremont","OUT",0,"Pas de table"
14,"Le Plateau-Mont-Royal","Le Plateau-Mont-Royal","PLA",0,"Corporation de développement communautaire Action Solidarité Grand-Plateau"
15,"Pointe-aux-Trembles","Rivière-des-Prairies–Pointe-aux-Trembles","RDP",0,"Corporation de développement communautaire de la Pointe"
16,"Rivière-des-Prairies","Rivière-des-Prairies–Pointe-aux-Trembles","RDP",0,"Corporation de développement communautaire de Rivière-des-Prairies"
17,"Petite-Patrie","Rosemont–La Petite-Patrie","RPP",0,"Regroupement des tables de concertation de la Petite-Patrie / RTCPP"
18,"Rosemont","Rosemont–La Petite-Patrie","RPP",0,"Corporation de développement communautaire de Rosemont"
19,"Saint-Laurent","Saint-Laurent","VSL",2,"Comité des organismes sociaux de Saint-Laurent / COSSL"
20,"Saint-Léonard","Saint-Léonard","STL",1,"Concertation Saint-Léonard"
21,"Petite-Bourgogne","Le Sud-Ouest","LSO",0,"Coalition de la Petite-Bourgogne, Quartier en santé"
22,"Pointe Saint-Charles","Le Sud-Ouest","LSO",0,"Action Gardien de Pointe Saint-Charles"
23,"Saint-Henri","Le Sud-Ouest","LSO",0,"Solidarité St-Henri"
24,"Ville-Émard/Côte Saint-Paul","Le Sud-Ouest","LSO",1,"Concertation Ville-Émard/Côte Saint-Paul"
25,"Verdun","Verdun","VER",0,"Table de concertation de développement social de Verdun"
26,"Centre-Sud","Ville-Marie","VIM",1,"Corporation de développement communautaire Centre-Sud"
27,"Faubourg Saint-Laurent","Ville-Marie","VIM",0,"Table de concertation du Faubourg Saint-Laurent"
28,"Peter McGill","Ville-Marie","VIM",0,"Interaction du quartier Peter McGill"
29,"Vieux-Montréal","Ville-Marie","VIM",0,"Pas de table"
30,"Parc-Extension","Villeray–Saint-Michel–Parc-Extension","VSE",0,"Pas de table"
31,"Saint-Michel","Villeray–Saint-Michel–Parc-Extension","VSE",1,"Vivre Saint-Michel en santé"
32,"Villeray","Villeray–Saint-Michel–Parc-Extension","VSE",0,"Regroupement pour le développement de Villeray"
