ï»¿Rang;Pays_naissance;Immigration_economique_personnes_presentes;Immigration_economique_personnes_admises;Regroupement_familial_personnes_presentes;Regroupement_familial_personnes_admises;Refugies_personnes_en_situation_semblable_personnes_presentes;Refugies_personnes_en_situation_semblable_personnes_admises;Autres_immigrants_personnes_presentes;Autres_immigrants_personnes_admises
1;France;32717;40375;4414;5354;50;59;40;51
2;AlgÃ©rie;19013;21407;6165;6694;463;513;149;156
3;HaÃ¯ti;6695;7253;7230;7894;4465;4946;3288;3654
4;Maroc;12135;14501;6677;7441;142;163;44;48
5;Chine;12101;34421;5036;6678;93;131;27;28
6;Syrie;684;1112;726;869;14841;18420;68;75
7;Cameroun;9870;12123;3849;4288;1011;1149;89;100
8;Tunisie;8317;9556;3313;3630;142;166;31;35
9;Philippines;9003;10810;2704;3028;23;28;54;59
10;CÃ´te d'Ivoire;7476;9368;2798;3155;510;591;47;54
11;Colombie;5809;7244;2003;2324;2124;2408;123;145
12;Iran;7879;19399;1292;1871;507;660;21;25
13;Inde;4355;12191;2520;3523;965;1376;151;188
14;RÃ©p. dÃ©m. du Congo;1307;1527;1353;1524;3352;3983;387;446
15;Mexique;1485;2060;2750;3147;1693;1900;274;309
16;Ãtats-Unis;1889;3101;2958;3880;769;972;527;626
17;Liban;3018;4526;2230;2685;761;890;56;62
18;Ãgypte;3878;6859;698;986;756;907;24;27
19;BrÃ©sil;4334;5272;956;1132;19;25;35;39
20;SÃ©nÃ©gal;2482;3225;1650;1853;237;276;14;16
21;Moldavie;3614;4538;561;663;15;19;10;11
22;Afghanistan;15;52;660;739;2913;3788;11;12
23;Cuba;1123;1476;2070;2472;257;316;36;39
24;Venezuela;1891;2473;678;784;859;958;50;58
25;Pakistan;497;2402;1221;1596;1539;1988;55;69
26;Burundi;855;1167;475;540;1677;1984;138;150
27;Ukraine;2335;3265;688;848;64;78;40;47
28;Roumanie;1981;3200;879;1155;31;42;13;17
29;Vietnam;940;1236;1501;1764;50;66;5;5
30;BÃ©nin;1811;2138;554;607;50;66;9;10
;Autres pays;28027;43411;23397;28312;14310;18564;1621;2036
